#,Name,channel_name,total_subscribers,total_views,total_videos,
56,Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,Passenger,7350000,4521686470,387,
57,MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,MessYourself,6870000,2565660279,1068,
58,MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,8320000,4213271677,1004,
59,Boomerang UK @UCmst562fALOY2cKb4IFgqEg,Boomerang UK,7270000,3585116797,2292,
60,James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,James Arthur,7360000,4365336668,196,
61,ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,ARPO The Robot,7650000,3223103910,1315,
62,24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,24 News HD,7710000,3392912536,165103,
63,RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,RubyandBonnie,8840000,5084401378,616,
64,Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,Nickelodeon UK,6930000,7353008393,3248,
65,Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,Mark Ronson,6860000,6455750214,20,
66,Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,Rhia Official,12300000,5714143049,887,
67,UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,UKF Dubstep,6250000,2120845799,1705,
68,TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,TGFbro,6170000,1459575959,472,
69,Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,Wilbur Soot,5930000,795362967,139,
70,Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,Russell Brand,6790000,1263346060,2674,
71,Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,Manchester United,8790000,2087630130,3985,
72,Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,Pingu - Official Channel,6870000,2788693613,621,
73,Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,Mrwhosetheboss Shorts,7100000,3722844989,186,
74,Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,Niko Omilana,7420000,615213451,141,
75,Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,Tiana2,5880000,1641887399,429,
76,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,Capital FM,6130000,3537766055,2542,
77,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,Simon's Cat,6210000,1573852796,474,
78,CGP Grey @UC2C_jShtL725hvbm1arSV9w,CGP Grey,6230000,1009114880,189,
79,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,Jamie Oliver,5920000,955104654,2102,
80,ChrisMD @UCQ-YJstgVdAiCT52TiBWDbg,ChrisMD,6020000,1552058910,509,
81,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,Dumori Bay,5360000,1127304,225,
82,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,Space Videos,5660000,112834302,132,
83,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,Real Stories,6270000,1171415638,1150,
84,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,More Emily,5300000,1480033526,634,
85,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,GRM Daily,6290000,7458604091,14696,
86,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,Joe Weller,5290000,1022107519,323,
87,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,WildBrain Kids,8320000,4030017406,4979,
88,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,Sky News,7540000,4282633039,46009,
89,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,Jarvis,5680000,1694450677,706,
90,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,Thoughty2,5380000,1036594331,805,
91,TheDadLab @UCc_-hy0u9-oKlNdMKHBudcQ,TheDadLab,5200000,2933744679,830,
92,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,Behzinga,4960000,579732195,872,
93,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,BBC Learning English,6370000,331037103,3576,
94,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,Max and Katy,4740000,1316802359,506,
95,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,Man City,7180000,1961234060,8248,
96,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,Wisp,5180000,1068272135,513,
97,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,WillNE,5030000,852896342,305,
98,Zerkaa @UChntGq8THlUokhc1tT-M2wA,Zerkaa,4710000,847855843,1998,
99,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,Ben Phillips,4550000,1270551080,858,
100,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,Roxxsaurus,4580000,539030412,933,
